Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
SN,,,,,,2,,1,3,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,66.67%,0.00%,33.33%,0.00%,100.00%,SN
VI,,,,,,3,,,3,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,VI
AW,,1,,,,1,,,2,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,AW
BU,,1,,,,1,,,2,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,BU
BW,,,,,,2,,,2,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,BW
CI,,1,,1,,,,,2,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,CI
CN,,,,,,2,,,2,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,CN
FJ,,1,,,,1,,,2,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,FJ
GD,,1,,,,1,,,2,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,GD
MG,,,,,,2,,,2,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,MG
MM,,1,,,,1,,,2,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,MM
MR,,,,,,1,,1,2,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,0.00%,100.00%,MR
MZ,,,,,,2,,,2,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,MZ
TZ,,,,,,2,,,2,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,TZ
YE,,1,,,,,,1,2,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,YE
AD,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,AD
AG,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,AG
AI,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,AI
AN,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,AN
BB,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,BB
CM,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,CM
GH,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,GH
GY,,1,,,,,,,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,GY
KN,,,,1,,,,,1,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,KN
LI,,1,,,,,,,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,LI
MC,1,,,,,,,,1,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,MC
MS,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,MS
MW,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,MW
NG,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,NG
RW,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,RW
SZ,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,SZ
UG,,1,,,,,,,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,UG
VC,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,VC
VG,,1,,,,,,,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,VG
ZM,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,ZM
ZW,,,,,,1,,,1,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,ZW
Total Result,4706,15017,310,1301,859,66480,205,6754,95632,4.92%,15.70%,0.32%,1.36%,0.90%,69.52%,0.21%,7.06%,5.82%,85.22%,0.54%,8.42%,22.31%,77.69%,
