Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
NO,25,66,2,6,4,373,3,26,505,4.95%,13.07%,0.40%,1.19%,0.79%,73.86%,0.59%,5.15%,5.74%,86.93%,0.99%,6.34%,19.60%,80.40%,NO
JP,53,70,8,4,4,335,,18,492,10.77%,14.23%,1.63%,0.81%,0.81%,68.09%,0.00%,3.66%,11.59%,82.32%,1.63%,4.47%,27.44%,72.56%,JP
MY,20,98,,7,3,260,1,21,410,4.88%,23.90%,0.00%,1.71%,0.73%,63.41%,0.24%,5.12%,5.61%,87.32%,0.24%,6.83%,30.49%,69.51%,MY
TR,13,58,,5,3,295,,26,400,3.25%,14.50%,0.00%,1.25%,0.75%,73.75%,0.00%,6.50%,4.00%,88.25%,0.00%,7.75%,19.00%,81.00%,TR
UA,25,55,,3,3,297,2,13,398,6.28%,13.82%,0.00%,0.75%,0.75%,74.62%,0.50%,3.27%,7.04%,88.44%,0.50%,4.02%,20.85%,79.15%,UA
HR,22,28,3,4,8,298,,15,378,5.82%,7.41%,0.79%,1.06%,2.12%,78.84%,0.00%,3.97%,7.94%,86.24%,0.79%,5.03%,15.08%,84.92%,HR
BG,18,20,,3,7,299,2,7,356,5.06%,5.62%,0.00%,0.84%,1.97%,83.99%,0.56%,1.97%,7.02%,89.61%,0.56%,2.81%,11.52%,88.48%,BG
RS,20,23,1,7,6,281,,5,343,5.83%,6.71%,0.29%,2.04%,1.75%,81.92%,0.00%,1.46%,7.58%,88.63%,0.29%,3.50%,14.87%,85.13%,RS
CH,18,27,2,8,2,265,1,19,342,5.26%,7.89%,0.58%,2.34%,0.58%,77.49%,0.29%,5.56%,5.85%,85.38%,0.88%,7.89%,16.08%,83.92%,CH
DK,26,40,2,5,4,242,,12,331,7.85%,12.08%,0.60%,1.51%,1.21%,73.11%,0.00%,3.63%,9.06%,85.20%,0.60%,5.14%,22.05%,77.95%,DK
MX,19,47,,,1,234,1,29,331,5.74%,14.20%,0.00%,0.00%,0.30%,70.69%,0.30%,8.76%,6.04%,84.89%,0.30%,8.76%,19.94%,80.06%,MX
PT,13,43,,5,3,254,,6,324,4.01%,13.27%,0.00%,1.54%,0.93%,78.40%,0.00%,1.85%,4.94%,91.67%,0.00%,3.40%,18.83%,81.17%,PT
ES,16,41,,5,3,215,2,22,304,5.26%,13.49%,0.00%,1.64%,0.99%,70.72%,0.66%,7.24%,6.25%,84.21%,0.66%,8.88%,20.39%,79.61%,ES
TW,5,37,1,1,,240,1,11,296,1.69%,12.50%,0.34%,0.34%,0.00%,81.08%,0.34%,3.72%,1.69%,93.58%,0.68%,4.05%,14.86%,85.14%,TW
AT,15,30,1,5,2,221,1,15,290,5.17%,10.34%,0.34%,1.72%,0.69%,76.21%,0.34%,5.17%,5.86%,86.55%,0.69%,6.90%,17.59%,82.41%,AT
